speciesId,species_lsid,family,genus,species,subspecies,author,year,parentheses,distribution
1,urn:lsid:nmbe.ch:spidersp:000896,Actinopodidae,Actinopus,caraiba,,Simon,1889,1,Venezuela
2,urn:lsid:nmbe.ch:spidersp:000898,Actinopodidae,Actinopus,crassipes,,Keyserling,1891,1,"Brazil, Paraguay, Argentina"
3,urn:lsid:nmbe.ch:spidersp:000899,Actinopodidae,Actinopus,cucutaensis,,Mello-Leitão,1941,0,"Colombia, Venezuela, Brazil"
4,urn:lsid:nmbe.ch:spidersp:000900,Actinopodidae,Actinopus,dubiomaculatus,,Mello-Leitão,1923,0,Brazil
5,urn:lsid:nmbe.ch:spidersp:000901,Actinopodidae,Actinopus,echinus,,Mello-Leitão,1949,0,Brazil
6,urn:lsid:nmbe.ch:spidersp:000902,Actinopodidae,Actinopus,fractus,,Mello-Leitão,1920,0,Brazil
7,urn:lsid:nmbe.ch:spidersp:000903,Actinopodidae,Actinopus,harti,,Pocock,1895,0,Trinidad
8,urn:lsid:nmbe.ch:spidersp:000904,Actinopodidae,Actinopus,insignis,,Holmberg,1881,1,"Uruguay, Argentina"
10,urn:lsid:nmbe.ch:spidersp:000906,Actinopodidae,Actinopus,longipalpis,,"C. L. Koch",1842,0,"Paraguay, Uruguay, Argentina"
11,urn:lsid:nmbe.ch:spidersp:000907,Actinopodidae,Actinopus,nattereri,,Doleschall,1871,1,Brazil
12,urn:lsid:nmbe.ch:spidersp:000908,Actinopodidae,Actinopus,nigripes,,Lucas,1834,1,Brazil
13,urn:lsid:nmbe.ch:spidersp:000909,Actinopodidae,Actinopus,paranensis,,Mello-Leitão,1920,0,Brazil
15,urn:lsid:nmbe.ch:spidersp:000911,Actinopodidae,Actinopus,piceus,,Ausserer,1871,1,Brazil
16,urn:lsid:nmbe.ch:spidersp:000912,Actinopodidae,Actinopus,princeps,,Chamberlin,1917,0,Brazil
17,urn:lsid:nmbe.ch:spidersp:000913,Actinopodidae,Actinopus,pusillus,,Mello-Leitão,1920,0,Brazil
18,urn:lsid:nmbe.ch:spidersp:000914,Actinopodidae,Actinopus,robustus,,"O. Pickard-Cambridge",1892,1,Panama
19,urn:lsid:nmbe.ch:spidersp:000915,Actinopodidae,Actinopus,rojasi,,Simon,1889,1,Venezuela
20,urn:lsid:nmbe.ch:spidersp:000916,Actinopodidae,Actinopus,rufibarbis,,Mello-Leitão,1930,0,Brazil
21,urn:lsid:nmbe.ch:spidersp:000917,Actinopodidae,Actinopus,rufipes,,Lucas,1834,1,Brazil
22,urn:lsid:nmbe.ch:spidersp:000918,Actinopodidae,Actinopus,scalops,,Simon,1889,1,Venezuela
23,urn:lsid:nmbe.ch:spidersp:000919,Actinopodidae,Actinopus,tarsalis,,Perty,1833,0,Brazil
24,urn:lsid:nmbe.ch:spidersp:000920,Actinopodidae,Actinopus,trinotatus,,Mello-Leitão,1938,0,Brazil
25,urn:lsid:nmbe.ch:spidersp:000921,Actinopodidae,Actinopus,valencianus,,Simon,1889,1,Venezuela
26,urn:lsid:nmbe.ch:spidersp:000922,Actinopodidae,Actinopus,wallacei,,"F. O. Pickard-Cambridge",1896,0,Brazil
27,urn:lsid:nmbe.ch:spidersp:000923,Actinopodidae,Actinopus,xenus,,Chamberlin,1917,0,"South America"
28,urn:lsid:nmbe.ch:spidersp:000924,Actinopodidae,Missulena,bradleyi,,Rainbow,1914,0,"Australia (New South Wales)"
29,urn:lsid:nmbe.ch:spidersp:000925,Actinopodidae,Missulena,dipsaca,,Faulder,1995,0,Australia
30,urn:lsid:nmbe.ch:spidersp:045858,Actinopodidae,Missulena,faulderi,,"Harms & Framenau",2013,0,"Australia (Western Australia)"
31,urn:lsid:nmbe.ch:spidersp:000926,Actinopodidae,Missulena,granulosa,,"O. Pickard-Cambridge",1869,1,"Australia (Western Australia)"
32,urn:lsid:nmbe.ch:spidersp:000927,Actinopodidae,Missulena,hoggi,,Womersley,1943,0,"Australia (Western Australia)"
33,urn:lsid:nmbe.ch:spidersp:000928,Actinopodidae,Missulena,insignis,,"O. Pickard-Cambridge",1877,1,Australia
34,urn:lsid:nmbe.ch:spidersp:045859,Actinopodidae,Missulena,langlandsi,,"Harms & Framenau",2013,0,"Australia (Western Australia)"
35,urn:lsid:nmbe.ch:spidersp:000929,Actinopodidae,Missulena,occatoria,,Walckenaer,1805,0,"Australia (Southern Australia)"
36,urn:lsid:nmbe.ch:spidersp:000930,Actinopodidae,Missulena,pruinosa,,Levitt-Gregg,1966,0,"Australia (Western Australia, Northern Territory)"
37,urn:lsid:nmbe.ch:spidersp:000931,Actinopodidae,Missulena,reflexa,,"Rainbow & Pulleine",1918,0,"Australia (South Australia)"
38,urn:lsid:nmbe.ch:spidersp:000932,Actinopodidae,Missulena,rutraspina,,Faulder,1995,0,"Australia (Western Australia, South Australia, Victoria)"
39,urn:lsid:nmbe.ch:spidersp:000933,Actinopodidae,Missulena,torbayensis,,Main,1996,0,"Australia (Western Australia)"
40,urn:lsid:nmbe.ch:spidersp:000934,Actinopodidae,Missulena,tussulena,,Goloboff,1994,0,Chile
41,urn:lsid:nmbe.ch:spidersp:000935,Actinopodidae,Plesiolena,bonneti,,Zapfe,1961,1,Chile
42,urn:lsid:nmbe.ch:spidersp:000936,Actinopodidae,Plesiolena,jorgelina,,Goloboff,1994,0,Chile
43,urn:lsid:nmbe.ch:spidersp:041793,Agelenidae,Acutipetala,donglini,,"Dankittipakul & Zhang",2008,0,Thailand
44,urn:lsid:nmbe.ch:spidersp:041792,Agelenidae,Acutipetala,octoginta,,"Dankittipakul & Zhang",2008,0,Thailand
45,urn:lsid:nmbe.ch:spidersp:020824,Agelenidae,Gorbiscape,agelenoides,,Walckenaer,1841,1,"Western Mediterranean"
46,urn:lsid:nmbe.ch:spidersp:020825,Agelenidae,Agelena,annulipedella,,Strand,1913,0,"Uganda or DR Congo"
47,urn:lsid:nmbe.ch:spidersp:020826,Agelenidae,Agelena,atlantea,,Fage,1938,0,Morocco
48,urn:lsid:nmbe.ch:spidersp:020827,Agelenidae,Agelena,australis,,Simon,1897,0,"Kenya, Namibia, Botswana, Zimbabwe, South Africa"
49,urn:lsid:nmbe.ch:spidersp:040190,Agelenidae,Agelena,babai,,Tanikawa,2005,0,Japan
50,urn:lsid:nmbe.ch:spidersp:020828,Agelenidae,Agelena,barunae,,Tikader,1970,0,India
51,urn:lsid:nmbe.ch:spidersp:020829,Agelenidae,Allagelena,bifida,,Wang,1997,1,China
53,urn:lsid:nmbe.ch:spidersp:020832,Agelenidae,Agelena,canariensis,,Lucas,1838,0,"Canary Is., Morocco, Algeria"
54,urn:lsid:nmbe.ch:spidersp:040191,Agelenidae,Agelena,chayu,,"Zhang, Zhu & Song",2005,0,China
55,urn:lsid:nmbe.ch:spidersp:020833,Agelenidae,Agelena,choi,,Paik,1965,0,Korea
56,urn:lsid:nmbe.ch:spidersp:020834,Agelenidae,Agelena,consociata,,Denis,1965,0,Gabon
57,urn:lsid:nmbe.ch:spidersp:040192,Agelenidae,Agelena,cuspidata,,"Zhang, Zhu & Song",2005,0,China
58,urn:lsid:nmbe.ch:spidersp:020839,Agelenidae,Agelena,doris,,Hogg,1922,0,Vietnam
